description;address;area;bedrooms;suites;wc;parking_spots;value;condo_fee;df_tax;aptlink
Apartamento para venda tem 26 metros quadrados com 1 quarto em Sul - Brasília - DF;Avenida das AraucáriasSul;56;1;1;1;1;273000;350;572;-
Apartamento para Venda em Brasília, Samambaia Sul (Samambaia), 2 dormitórios, 1 banheiro, 1 vaga;QN 120 Conjunto 2Samambaia Sul;46;2;0;1;1;205000;490;520;-
Apartamento Financiado pela Caixa.;Condomínio Lago SulSetor Habitacional Jardim Botânico;47;2;-;1;1;148000;0;0;-
Ap 33m2 pode fazer até 2 quartos,financiamento c facilidades;QR 407 Conjunto 9Samambaia Norte;55;2;0;1;1;180000;200;100;-
02 Quartos, sala integrada com varanda em excelente quadra na parte alta do Noroeste - Brasília - DF;SQNW 303 Bloco HSetor Noroeste;-;2;1;3;2;1192341;-;-;-
Apartamento para venda possui 41 metros quadrados com 2 quartos em Taguatinga Norte - Brasília - DF;QNL 23 Bloco DTaguatinga Norte;60;2;0;1;1;170000;280;0;-
Apartamento 4 quartos no Riviera Del Fiore - Águas Claras.;Alameda das Acácias Quadra 107Norte;-;4;3;4;3;1550000;0;0;-
Casa no Setor O.;QNM 19 Conjunto OCeilândia Sul;-;3;1;2;2;850000;0;0;-
Apartamento à venda 3 quartos,1 suíte, 70m², vista livre, andar alto, Rua 35 Sul Águas Claras-DF;Rua 35Sul;-;3;1;2;1;560000;565;-;-
Apartamento para venda com 68 metros quadrados com 3 quartos em Ceilândia Sul - Brasília - DF;QNM 33 Área Especial HCeilândia Sul;-;3;1;2;1;389000;-;-;-
APTO 3 QUARTOS - PORTEIRA FECHADA;QR 108Samambaia Sul;98;3;1;1;1;380000;519;700;-
Ágio de apartamento em Taguatinga Norte - Brasília - DF;CNA 1Taguatinga Norte;100;2;-;1;-;74900;-;0;-
Apartamento 2 quartos Asa Norte SQN 116 Bloco H;SQN 116 Bloco HAsa Norte;85;2;-;2;-;740000;460;900;-
(Resid Solar do Cerrado)Apto 2 qts, suite e lazer completo (Itbi, escritura e registro Gratis);QNO 10 Área Especial QCeilândia Norte;66;2;1;1;1;229900;350;400;-
Apartamento para Venda em Brasília, Setor Meireles (Santa Maria), 3 dormitórios, 1 suíte, 1 banheiro;Avenida MonumentalSetor Meireles;80;3;1;1;1;205000;-;0;-
Apartamento de 2 Quartos em Taguatinga com Suíte - Reformado e Planejado;QI 12Setor Industrial;-;2;1;2;1;360000;0;0;-
Venda ou locação Apartamento 3 quartos Asa Sul Brasília;-;167;3;1;3;1;8000;1500;645;-
Quadra 105, Aguas Claras! 2 quatos, 1 suíte, andar alto, 2 vagas, 84m2;Rua 19Norte;84;3;1;3;2;640000;600;800;-
Apartamento 3 Quartos Asa Sul !!! 750.000 !!!;SQS 403 Bloco RAsa Sul;118;3;1;2;-;750000;1050;1431;-
Apartamento VAZADO, com 120 m2, 3 quartos, 3 garagem - Brasília - DF;Quadra 107Norte;220;3;1;3;3;850000;780;1600;-
Apartamento de 3 quartos com suíte;Quadra 104Norte;-;3;1;2;1;840000;0;0;-
APARTAMENTO RESIDENCIAL em BRASÍLIA - DF, SETOR NOROESTE;SQNW 310 Bloco BSetor Noroeste;105;3;1;3;2;1550000;-;-;-
Apartamento 2 quartos com suíte e varanda próximo ao metrô – Ceilândia;QNN 11Ceilândia Norte;98;2;1;1;1;309900;421;0;-
Apartamento a venda no Gama (Residencial Flex Gama);Área Especial Lado LesteSetor Central;-;2;1;1;1;370000;0;0;-
Apartamento para venda possui 159 metros quadrados com 3 quartos em Asa Sul - Brasília - DF;SQS 202 Bloco DAsa Sul;-;3;1;3;1;1700000;1532;2600;-
Apartamento para venda com 127 metros quadrados com 3 quartos em Norte - Brasília - DF;Rua Ipê AmareloNorte;-;3;1;3;1;710000;680;1500;-
Apartamento para Venda em Brasília, Taguatinga Norte (Taguatinga), 2 dormitórios, 1 banheiro, 1 vaga;Setor SAGOCATaguatinga Norte;48;2;0;1;1;260000;317;520;-
Gente até 47 mil de subsídio, e tenha 100% financiado;QR 407 Conjunto 3Samambaia Norte;57;1;0;1;1;174900;200;100;-
Oportunidade - Blend Apartaments com 1 quarto e armários planejados;Avenida das AraucáriasSul;32;1;1;1;1;325000;450;1000;-
Apto 2Qtos no Residencial Gamaggiore no Setor Industrial - Brasília - DF;Quadra 1Setor Industrial;66;2;1;1;1;300000;300;700;-
EXCELENTE APARTAMENTO COM SUÍTE;Setor SAGOCATaguatinga Norte;-;2;1;2;1;270000;-;0;-
Apartamento para venda tem 103 metros quadrados com 3 quartos em Sul - Brasília - DF;Avenida das AraucáriasSul;-;3;1;2;2;931533;570;0;-
DUPLEX 1 Suíte + Escritório ou Closet PARK STYLE;Rua 25Sul;70;2;1;2;1;650000;650;-;-
Apartamento 2 quartos no Mirante Duo, Aguas Claras!;Avenida Parque Águas ClarasNorte;121;2;1;2;2;575000;460;926;-
SALA COMERCIAL E OU KITNET, ÓTIMO PREÇO.;Avenida das CastanheirasNorte;31;1;0;1;0;125000;209;0;-
BRASÍLIA - Apartamento Padrão - ASA NORTE;-;127;3;1;3;1;1300000;1213;2074;-
Excelente apartamento em rua 06 Vicente Pires;Rua 6 Chácara 265Setor Habitacional Vicente Pires;-;1;0;1;-;120000;100;0;-
Apartamento para venda possui 56 metros quadrados com 2 quartos;CA 5Setor de Habitações Individuais Norte;56;2;1;1;1;680000;1;1;-
Apartamento 2 quartos com suíte e varanda próximo ao metrô - Ceilândia;QNN 11Ceilândia Norte;114;2;1;2;1;309900;421;500;-
Apartamento 2 Quartos SQS 408 !!! 530.000 !!!;SQS 408 Bloco JAsa Sul;56;2;0;1;0;530000;480;0;-
Apartamento para venda com 87 metros quadrados com 3 quartos em Samambaia Sul - Brasília - DF;Quadra 101 Conjunto 3Samambaia Sul;-;3;1;2;1;474900;481;500;-
Apartamento 2 quartos 716 Norte Asa Norte Brasília;SCRN 716 Bloco GAsa Norte;56;2;-;1;-;599000;623;1000;-
Apartamento para venda com 97 metros quadrados com 3 quartos em Sul - Brasília - DF;Quadra 201Sul;109;3;1;3;1;610000;1300;1111111;-
Programa casa verde e amarela, muitas facilidades;QR 407 Conjunto 5Samambaia Norte;54;2;0;1;1;176800;200;100;-
Prédio com 03 apartamentos com 2 quartos;QR 433 Conjunto 6Samambaia Norte;-;2;1;2;1;450000;-;-;-
SOLO IMOB vende apartamento na SQS 411;SQS 411 Bloco OAsa Sul;58;2;-;2;0;415000;-;-;-
SUDOESTE, QUADRA 105, EXCELENTE LOCALIZAÇÃO;SQSW 105Setor Sudoeste;98;3;1;2;1;1360000;0;0;-
Apartamento lindo 2 Quartos com Garagem Com Móveis! Melhor Localização;QR 412 Conjunto 17Samambaia Norte;96;2;-;1;1;235000;302;280;-
Apartamento 2 quartos com elevador;Rua 4ASetor Habitacional Vicente Pires;-;2;0;1;0;135000;230;0;-
1 ou 2 quartos, muitas vantagens e facilidades, veja detalhes;QR 407Samambaia Norte;56;1;0;1;1;175800;200;100;-
Apartamento para Venda em Brasília, Taguatinga Norte (Taguatinga), 2 dormitórios, 1 suíte, 1 banheir;Setor SAGOCATaguatinga Norte;72;2;1;1;1;280000;-;0;-
Venda Amplo Apartamento 3 Qtos C/ Vista Livre, Garagem - Asa Norte - DF;SQN 304Asa Norte;-;3;1;2;1;1500000;874;2000;-
ALIANÇA IMOVEIS VENDE EXELENTE APARTAMENTO EM AGUAS CLARAS;Quadra 101Norte;50;2;-;1;1;410000;0;0;-
Excelente apartamento em Residencial Esplanada em Taguatinga Norte;Setor SAGOCATaguatinga Norte;-;2;0;1;1;250000;0;0;-
Apartamento 2Q 7 andar residencial Sublime;QR 106 Conjunto 15-ASamambaia Sul;60;2;1;2;1;249000;0;0;-
QI 23 todo novinho, 3 quartos 1 suite, ao lado do metrô!!!;QI 23Guará II;80;3;1;2;1;459000;474;0;-
Apartamento de 03 quartos - Núcleo Bandeirante;-;80;3;-;1;0;290000;0;0;-
Apartamento para venda tem 56 metros quadrados com 3 quartos;QS 19 Conjunto 1Riacho Fundo II;62;3;1;2;1;190000;310;250;-
Apartamento para venda tem 62 metros quadrados com 3 quartos em Taguatinga Norte - Brasília - DF;Setor SAGOCATaguatinga Norte;-;3;1;1;1;340000;0;0;-
Apartamento Duplex com 3 dormitórios à venda, 150 m² por R$ 250.000,00 - Paranoá - Paranoá/DF;Quadra 21 Conjunto DParanoá;150;3;1;1;0;250000;0;0;-
EQNP 01/05 Aptº Duplex Ceilândia Norte - Brasília - DF;-;53;2;-;1;2;140000;0;0;-
Vendo apartamento Quadra 17, com 02 quartos, garagem e elevador. Ed. Serra Verde;Quadra 17 AR 5Sobradinho;111;3;1;2;1;320000;-;-;-
Apartamento para venda tem 73 metros quadrados com 2 quartos em Setor Noroeste - Brasília - DF;SQNW 307 Bloco HSetor Noroeste;73;2;1;3;2;1200000;650;950;-
Cobertura duplex para venda com 336 metros quadrados com 4 quartos em Setor Noroeste - Brasília - DF;SQNW 311 Bloco HSetor Noroeste;336;4;4;7;4;3990000;850;1;-
Maravilhoso 03 quartos suite 72 m² Nascente Vista livre Residencial Le Ville;Rua 25Sul;120;3;1;2;1;570000;580;900;-
Apartamento - 02 Quartos em Riacho Fundo I - Brasília - DF;-;-;2;1;2;1;190000;-;-;-
Apartamento Riacho Fundo II;QS 21 Conjunto 1Riacho Fundo II;50;2;0;1;1;220000;0;0;-
Agio Total Ville Setor Meireles - Brasília - DF Parcelas 570;QR 201 Conjunto ASanta Maria;-;2;-;1;1;55999;1;2;-
Apartamento no residencial Gamaggiore;Quadra 1Setor Industrial;57;2;1;2;1;335000;-;-;-
Lindo apartamento em Residencial Guará Village Guará II;QE 38 Conjunto FGuará II;-;2;0;1;1;399000;0;0;-
Apartamento pelo programa casa verde e amarela, veja como conseguir;QR 407Samambaia Norte;55;2;0;1;1;177000;200;100;-
Vendo apartamento Contemplar 2 qtos sendo 1 suíte 2 vagas de garagem;Área Especial 2 Módulo EGuará II;-;2;1;2;2;590000;400;0;-
Sala / Consultório / Clinica para venda tem 60m² - 915 Sul - Office Center Asa Sul - Brasília - DF;SGAS 915Asa Sul;-;1;-;1;1;350000;733;3108;-
APTO 3 QTOS, SHIGS 714;SHIGS 714 Bloco QAsa Sul;125;3;1;3;0;990000;650;0;-
Apartamento para venda em Ceilândia Centro - Brasília - DF;CNNCeilândia Centro;68;3;1;1;1;295000;0;0;-
Apartamento para venda tem 73 metros quadrados com 3 quartos em Samambaia Sul - Brasília - DF;Quadra 101Samambaia Sul;-;3;1;2;2;549555;0;0;-
Apartamento para venda com 70 metros quadrados com 2 quartos e garagem;Condomínio Serra AzulSobradinho;70;2;0;1;1;179000;-;-;-
SQS 410 - EXCELENTE APARTAMENTO REFORMADO;SQS 410Asa Sul;67;2;0;1;0;560000;380;0;-
Apartamento 2 Quartos Com Suíte e Armários. Garagem Coberta! Centro Urbano;Quadra 301 Conjunto 7Samambaia Sul;90;2;1;2;1;315000;520;600;-
Apartamento para Venda em Brasília, Guará II, 2 dormitórios, 1 banheiro;Colônia Agrícola Águas Claras Chácara 41Guará I;56;2;0;1;0;140000;-;0;-
URGENTE!! ATENÇÃO! ÁGIO de Apto 3Quartos! Via Araguaia! Não exige transferência! 82m²! Confira!;CLN 5 Bloco JRiacho Fundo I;-;3;1;2;1;129900;0;0;-
Cobertura Duplex 2 Quartos, Samambaia Norte;QS 601 Conjunto ISamambaia Norte;91;2;0;2;1;569000;500;-;-
Apartamento 2 quartos - 60 metros em Águas Claras-Brasilia/DF;Alameda Gravatá Quadra 301 Conjunto 16Norte;70;2;1;2;1;380000;470;700;-
Apartamento para venda tem 65 metros quadrados com 2 quartos em Taguatinga Norte - Brasília - DF;QNL 9Taguatinga Norte;65;2;-;1;1;180000;380;500;-
Vendo excelente apart 3 qts send 1 suite 2 vaga de garagem coberta cha 89 av principal de Árniqueira;SHA Conjunto 4 Chácara 89Setor Habitacional Arniqueira;90;3;1;2;2;209000;0;1;-
Apto quitado setor central Gama DF;Quadra 55Setor Central;90;2;1;1;1;385000;0;0;-
Apartamento de 1 Quarto em Águas Claras;Rua 36Norte;30;1;-;1;1;250000;340;520;-
Apartamento para Venda em Brasília, Taguatinga Norte (Taguatinga), 2 dormitórios, 1 banheiro, 1 vaga;Setor SAGOCATaguatinga Norte;48;2;0;1;1;245000;317;520;-
Apartamento com 2 dormitórios à venda, 57 m² por R$ 290.000,00 - Vicente Pires - Vicente Pires/DF;Rua 6Setor Habitacional Vicente Pires;57;2;1;2;0;290000;0;0;-
Apto de 02 quartos Gama Setor Central;EQ 55/56Setor Central;-;2;0;1;1;165000;240;500;-
Apartamento de 3 quartos, suíte e armários planejados;Rua 4ASetor Habitacional Vicente Pires;-;3;1;2;0;220000;-;-;-
JÓIA RARA - SQNW 111 - 3 Suítes - 161 m²;SQNW 111 Bloco ISetor Noroeste;239;3;3;5;3;2300000;0;0;-
Excelente Apartamento! 03 Quartos, 68m2, Prox. Metrô, Res. Mônaco, Samambaia Sul - R$ 230.000,00;QN 120 Conjunto 1Samambaia Sul;-;3;-;1;1;250000;-;0;-
Apartamento para venda com 2 quartos em Ceilândia Norte - Brasília - DF;QNM 12 Via NM 12BCeilândia Norte;-;2;0;1;1;219000;0;0;-
Edifício Stendhal (SQN 309 Bloco L, Asa Norte - Brasília/DF);SQN 309 Bloco LAsa Norte;152;4;1;3;1;1790000;1238;2975;-
Residencial Residencial Tópazio Qs 519 - 2 quartos - Andar Alto;QS 519 Conjunto ASamambaia Sul;54;2;0;1;2;235000;290;500;-
Apartamento 3 quartos,1 suíte,2 vagas à venda,96m²- SGCVS Park Sul - Brasília – DF;SGCVZona Industrial;-;3;1;3;2;1480000;1290;130;-
Apartamento de 50 m² com 2 quartos em Guará II - Brasília - DF;Rua 15Guará II;-;2;0;1;0;120000;150;450;-
apartamento mobiliadom, com armários, garagem;Avenida Parque Águas ClarasNorte;-;1;-;1;1;280000;315;113;-
VENDO LINDO APARTAMENTO COM 3 SUÍTES, NO CONDOMÍNIO RIVIERA DEI FIORI, ÁGUAS CLARAS;Alameda das Acácias Quadra 107Norte;-;3;3;5;3;1590000;-;-;-
Apartamento Reformado 2 Quartos em Samambaia Sul;QR 103Samambaia Sul;45;2;0;1;1;210000;500;-;-
Cobertura com hidromassagem 3 quartos sendo 1 suíte, Aguas Claras - Aceita Financiamento;Avenida Parque Águas Claras Conjunto 6Norte;187;3;1;2;2;735000;850;-;-
3 quartos com 3 suítes águas claras;Avenida Parque Águas ClarasNorte;75;3;3;3;1;600000;580;0;-
Apartamento para Venda em Brasília, Grande Colorado (Sobradinho) Condomínio Jardim Europa;-;55;2;1;1;-;170000;-;-;-
Lindo apartamento 112m² c/ 03 quartos e 2 vagas de garagem - Edificio Vivian Valois - Águas Claras;Quadra 209Sul;112;3;1;1;1;980000;900;1500;-
Apartamento de 1 quarto à venda no Edifício DUE MURANO, na SQNW 307 – Noroeste/DF, com vaga de garag;SQNW 307 Bloco DSetor Noroeste;88;1;0;1;1;635000;512;1511;-
Apartamento a Venda 39m2 Frente Parque Aguas Claras;Avenida Parque Águas ClarasNorte;-;1;-;1;1;290000;0;0;-
Apartamento para venda tem 60 metros quadrados com 2 quartos;QBR 1 Bloco CResidencial Santos Dumont;65;2;0;1;1;160000;-;-;-
Apartamento para venda com 86 metros quadrados com 2 quartos em Setor Noroeste - Brasília - DF;SQNW 104 Bloco ASetor Noroeste;86;2;1;3;1;1300000;1;1;-
Maravilhoso apartamento de 4 quartos Taguatinga Norte;CNB 9Taguatinga Norte;272;4;0;5;4;795000;1400;375;-
Apartamento para venda com 78 m², 2 quartos, rico em planejados, com varanda, nascente alto.;Rua 4ASetor Habitacional Vicente Pires;-;2;0;1;1;360000;250;650;-
Apartamento para venda com 83 metros quadrados com 2 quartos em Norte - Brasília - DF;Quadra 104Norte;-;2;0;2;0;520000;474;0;-
Apartamento 2 Quartos Com Garagem Centro de Samambaia! Próximo ao Metrô!;QR 412 Conjunto 21Samambaia Norte;80;2;0;1;1;235000;302;280;-
Ágio de Apartamento no Riacho Fundo 2;-;-;3;1;1;1;55000;-;-;-
Apartamento para venda, 1 andar, com 2 quartos sendo 1 suite, DF-425, Sobradinho/DF;Rodovia DF-425Setor Habitacional Contagem;60;3;1;1;-;160000;-;-;-
Green Towers Condominio Resort Águas Claras;Quadra 205Sul;100;3;1;2;2;842000;-;-;-
Apartamento no Paranoá parque quadra 3;Quadra 3 Conjunto 3 Lote 1 Bloco DParanoá Parque;46;2;0;1;0;80000;-;-;-
Vendo excelente apartamento de 1 quarto QN 412 Samambaia Norte - Brasília - DF;QN 412 Conjunto FSamambaia Norte;30;1;1;1;1;130000;400;45;-
Apartamento Cobertura Duplex 3 Quartos ao Lado do Metrô! Aceita Financiamento!;QN 120Samambaia Sul;100;3;1;2;1;390000;514;543;-
Apartamento 2 qrts pelo programa casa verde e amarela;QR 407Samambaia Norte;-;2;0;1;1;183000;0;0;-
Ade Aguas Claras;ADE Conjunto 4Área de Desenvolvimento Econômico;60;2;-;2;0;105000;0;60;-
3 QUARTOS RESIDENCIAL ESPLANADA - VISTA LIVRE FLORESTA;Setor SAGOCATaguatinga Norte;62;3;1;2;1;405000;0;0;-
Financiamento imobiliário!;Quadra 3 Conjunto A Bloco CTaguatinga Norte;47;2;-;1;1;136000;0;0;-
Vicente Pires Rua 10, apto 2 qts, 4 andar 55m, só 135mil oportunidade;Rua 10Setor Habitacional Vicente Pires;55;2;0;1;0;135000;-;-;-
Qi 07 3 Quartos + DCE;QEGuará I;102;3;0;2;1;619000;655;870;-
Idealle 3qts suíte varanda 2 vagas aceita lote 1000mts Ponte Alta;Quadra 2Setor Industrial;85;3;1;3;2;520000;550;900;-
Cobertura Duplex para venda com 90 metros quadrados com 3 quartos em Norte - Brasília - DF;Quadra 107 Rua ANorte;90;3;1;1;1;840000;940;0;-
Apartamento para venda com128 m², com 3 quartos em Aguas Claras Norte - Brasília - DF;Quadra 105Norte;128;3;2;3;3;1339623;-;850;-
Sonho Verde - 116M² Lazer , Ao lado Sigma por R$ 855.900 - Águas Claras Sul -;Rua 12Sul;116;3;1;4;2;855900;600;0;-
"EXCELENTE Apartamento 2 quartos 3"" andar 54m2 rua 12 Vicente pires(sem elevador sem garagem)confira";Rua 12Setor Habitacional Vicente Pires;54;2;0;1;0;130000;-;-;-
APARTAMENTO 3 QUARTOS EM AGUAS CLARS;Rua CopaíbaSul;84;3;2;3;1;580000;540;-;-
Apartamento 3 Quartos Cruzeiro Novo !!! 480.000 !!!;SHCES Quadra 105 Bloco DCruzeiro Novo;112;3;-;2;-;480000;0;0;-
Apartamento para Venda em Brasília, Norte (Águas Claras), 3 dormitórios, 1 suíte, 3 banheiros, 1 vag;Rua AlecrimNorte;96;3;1;3;1;612000;650;1000;-
OPORTUNIDADE!NOVO!2QUARTOS,SUITE,PERTINHO DO PARQUE ECOLÓGICO, FÁCIL ACESSO PELO PARK WAY;Quadra 301 Rua D Conjunto 3Norte;75;2;1;2;1;385000;45600;-;-
Apartamento para venda tem 67 m2 com 1 quarto, sala, em Setor Noroeste - Brasília - DF;CLNW 10/11Setor Noroeste;-;1;1;2;2;599165;633;1392;-
Apartamento aconchegante, todo reformado, de 3 quartos, na SQS 106 Sul - Brasília - DF;-;151;3;1;3;0;1680000;1500;3000;-
Apartamento para venda com 57 metros quadrados com 2 quartos em Setor Sudoeste - Brasília - DF;QRSW 2 Bloco B-14Setor Sudoeste;83;2;0;1;1;580000;470;1082;-
West Side Lindo 2 Quartos - Reformado c/ Armários Planejados (Vaga Coberta);QNN 11Ceilândia Norte;58;2;1;2;1;220000;380;550;-
Maravilhoso! Quadradoimob.com vende com Exclusividade! Ligue Agora.;QRSW 4 Bloco B-3Setor Sudoeste;88;2;0;1;0;849000;470;1177;-
Apartamento no Noroeste;SQNW 108 Bloco GSetor Noroeste;74;2;-;2;1;970000;0;0;-
Apartamento nascente na Qd. 301, 53m de 2 quartos, Viver Melhor em Samambaia Sul, DF;Quadra 301 Conjunto 1Samambaia Sul;-;2;1;2;1;257000;480;600;-
Ap 1 ou 2 quartos, vantagens pelo programa casa verde e amarela;QR 407Samambaia Norte;54;2;0;1;1;176600;200;100;-
Belíssimo apartamento 03 quartos Samambaia Sul;-;-;3;1;2;1;320000;-;-;-
Excelente apartamento no Altos 2 de Taguatinga 3Qrts andar alto 410mil;QI 3Setor Industrial;64;3;1;2;1;410000;-;-;-
Ap Rua 10, ✔2 quartos, ✔1 vaga ✔Elevador, ✔Móveis Planejados, 48m2, Vicente Pires-DF.;Rua 12 Chácara 317Setor Habitacional Vicente Pires;48;2;0;1;1;250000;200;0;-
Vendo Espaçoso 2 Quartos com 74m²;Avenida SucupiraRiacho Fundo I;85;2;1;2;1;180000;0;1;-
"Apartamento na Sqs 413 a venda; 57 m² Privativos; Bem conservado; 2 quartos e 2 WCs";SQS 413Asa Sul;-;2;0;2;0;415000;0;0;-
Apartamento para venda com 2 quartos;Rua 5Setor Habitacional Vicente Pires;55;2;-;1;-;220000;-;-;-
Apartamento para venda possui 49 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;QS 421Samambaia Norte;80;2;0;1;1;210000;360;0;-
Aguas Claras 4 qts, 132m2 muito bem localizado qd. 104 Res Paradiso;Quadra 104Norte;132;4;1;3;1;840000;0;0;-
Duplex para venda com 51 metros quadrados com 1 quarto em Zona Industrial - Brasília - DF;SGCV Lote 13Zona Industrial;51;1;1;1;1;780000;0;0;-
Apartamento de 30 m² com 1 quarto, cozinha americana - ADE - Águas Claras;ADE Conjunto 13Área de Desenvolvimento Econômico;30;1;0;1;0;80000;70;0;-
Apartamento COBERTURA 2 quartos com suíte;EQS 414/415Asa Sul;-;2;1;2;3;339012;0;0;-
Ágio de apartamento na EQNN 23/25 de 02 quartos, só 49.900;EQNN 23/25Ceilândia Norte;75;2;-;1;-;35000;0;0;-
Apartamento à venda de 2 quartos, no Setor Hab. Contagem - Sobradinho/DF;Rodovia DF-425Setor Habitacional Contagem;59;2;0;1;0;180000;100;0;-
2 quartos Viviane Rinaldi, Aguas Claras, Rua 25 Norte;Rua 25Norte;57;2;1;2;1;489000;400;890;-
Edifício Maison D'or (SQN 310 Bloco B, Asa Norte - Brasília/DF);SQN 310 Bloco BAsa Norte;136;4;1;3;1;1550000;850;2170;-
Apartamento cobertura Duplex com 3 quartos, 173m², para venda em Águas Claras. Ed. Centrale;Rua 18Sul;173;3;2;4;1;1050000;1057;301;-
Agio de apto. 3 Quartos 72m2, 2 Vagas - Res. Montana bloco A - Águas Claras;QS 5 Rua 400Areal;-;3;1;2;2;123000;0;0;-
APARTAMENTO NA SQN 404 ASA NORTE;SQN 404 Bloco AAsa Norte;75;3;0;2;-;730000;350;1416;-
Real lê parc 2 QUARTOS com suite;EQS 414/415Asa Sul;79;2;1;2;2;174975;0;0;-
APARTAMENTO, 3 QUARTOS, VAZADO, CRUZEIRO NOVO;-;66;3;0;1;0;460000;460;75;-
Apartamento 4 quartos com 3 Suítes e 3 Vagas! Alto Padrão! Residencial Via Majestic!;Rua 28Norte;170;4;3;5;3;1620000;1180;2000;-
Apartamento para venda possui 84 metros quadrados com 2 quartos;Rua 4Setor Habitacional Vicente Pires;84;2;1;2;1;350000;0;0;-
Apartamento para venda possui 60 metros quadrados com 2 quartos;Rua 10 Chácara 154/1Setor Habitacional Vicente Pires;-;2;-;1;-;190000;0;0;-
Vende-se Apt 2 Quartos 1 Suíte Terra Nova (Superbom) - Riacho Fundo 01;Quadra AC 1Riacho Fundo I;-;2;1;2;1;320000;395;-;-
Apartamento 1 quarto com 35m em Taguatinga Sul vaga coberta A\C financiamento;CSG 14Taguatinga Sul;50;1;1;1;1;185000;300;500;-
APARTAMENTO 2 QUARTOS 60M² SUDOESTE;QRSW 1 Bloco A-1Setor Sudoeste;80;2;-;1;-;585000;569;-;-
Asa Norte, apartamento 29 m2, 1 quarto, banheiro, elevador.;SCRN 708/709 Bloco DAsa Norte;33;1;0;1;1;365000;404;745;-
Lazer completo, podendo ser 1 ou 2 quartos, muitas facilidades na entrada;QR 410 Conjunto 5Samambaia Norte;57;1;1;1;1;175500;200;100;-
RES. SONHO VERDE 116 M² / 3 QTOS+DCE / 2 GAR / LAZER;Rua 12Sul;140;3;1;4;2;935000;756;1548;-
Excelente apartamento no residencial Pratic Homen CSB 10 , 2Q 1 suíte 59m.;CSB 10Taguatinga Sul;60;2;1;2;1;430000;0;0;-
Espetacular 01 Quarto 46 M² Aguas claras!!!!!! R$ 390.000,00 Muitos armários Reformado;Rua 4Norte;71;1;0;1;1;390000;450;600;-
Apartamento para venda com 58 m² super reformado com 2 quartos, em Águas Claras - Brasília - DF;Rua 36Sul;75;2;1;2;1;499000;532;-;-
Apartamento 1 Quarto com vaga coberta e lazer completo, Resid Viver Melhor Samambaia;Quadra 301 Conjunto 1Samambaia Sul;-;1;-;1;1;174900;350;0;-
Apartamento com 2 dormitórios à venda, 54 m² por R$ 240.000,00 - Vicente Pires - Vicente Pires/DF;Rua 4ASetor Habitacional Vicente Pires;54;2;1;2;0;240000;0;0;-
QUADRA 301 AGUAS CLARAS COBERTURA - RES CANAAN PORTELA;Alameda Gravatá Quadra 301 Conjunto 16Norte;120;3;1;2;2;640000;520;67;-
Apartamento para venda com 1 quarto em Núcleo Bandeirante - Brasília - DF;Avenida Central Blocos 1315/1425Núcleo Bandeirante;30;1;1;1;0;140000;85;300;-
Apartamento para venda tem 48 metros quadrados com 2 quartos em Guará II - Brasília - DF;Rua 18Guará II;48;2;-;1;3;120000;-;0;-
Apartamento a venda em Nova colina, Sobradinho/DF com 01 quarto e garagem.;Condomínio Lara Conjunto BNova Colina;40;1;-;1;1;80000;-;-;-
ASA NORTE - SQN 310 - APTO 2 QUARTOS;SQN 310 Bloco AAsa Norte;84;2;0;2;0;730000;490;0;-
Apartamento 3 quartos para venda;Rua 4ASetor Habitacional Vicente Pires;77;3;1;2;-;190000;-;-;-
Apartamento para venda com 188 metros quadrados com 3 quartos em Norte - Brasília - DF;Rua das CarnaúbasNorte;-;3;3;5;3;898221;0;0;-
lindo apartamento de 01 quarto;Rua 24Norte;44;1;1;1;1;288000;290;1;-
Apartamento com 4 dormitórios à venda, 308 m² por R$ 1.380.000,00 - Águas Claras - Águas Claras/DF;Avenida das AraucáriasSul;30804;4;3;6;0;1380000;866;1944;-
QR 212 2 QUARTOS- PRONTO PARA MORAR próximo ao metrô Samambaia Sul;QR 212 Conjunto 3Samambaia Norte;-;2;0;1;1;280754;0;0;-
CNB 5 LINDO APARTAMENTO 3 QUARTOS COM DCE.;CNB 5Taguatinga Norte;-;2;-;2;1;260000;450;-;-
Apartamento para venda com 79 metros quadrados com 3 quartos em Norte - Brasília - DF;Rua das PaineirasNorte;-;3;1;2;1;660000;500;980;-
Cruzeiro Novo | Apartamento 3 quartos, sendo 1 suite;SHCES Quadra 305 Bloco JCruzeiro Novo;63;3;1;2;1;595000;455;670;-
Linda cobertura em Vicente Pires;Rua 4A Chácara 111Setor Habitacional Vicente Pires;150;3;0;3;1;780000;250;-;-
Apartamento 2 quartos venda Núcleo Bandeirante;Terceira Avenida Blocos 1420A/1550BNúcleo Bandeirante;60;2;-;1;-;197000;345;85;-
Apartamento para venda com 158 metros quadrados com 4 quartos em Sul - Brasília - DF;Avenida das AraucáriasSul;-;4;2;3;3;1416588;0;0;-
Apartamento duplex com 4 suítes , em Águas Claras (Sul) com 245 m² no Premiere;Rua BabaçuSul;-;4;4;6;4;1990000;0;0;-
Apto com 2 Quartos, Vaga de Garagem Coberta e Varanda;QS 401Samambaia Norte;80;2;0;1;1;225000;421;330;-
1 ou 2 quartos, minutos facilidade, lazer completo;QR 407 Conjunto 5Samambaia Norte;56;2;0;1;1;174500;220;140;-
